Round ID,Date,Course,Tee,Total Score,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18,Holes Recorded,Sum of Holes,Total vs Hole-Sum Diff
29,2025-02-21,CCC,Pre April 26 - Yellow,102,5.0,5.0,6.0,3.0,8.0,6.0,5.0,6.0,6.0,5.0,4.0,7.0,7.0,4.0,5.0,7.0,5.0,8.0,18,102.0,0.0
30,2025-02-22,CCC,Pre April 26 - Yellow,99,4.0,6.0,6.0,4.0,7.0,5.0,7.0,4.0,5.0,6.0,4.0,6.0,7.0,5.0,5.0,6.0,7.0,5.0,18,99.0,0.0
31,2025-03-08,CCC,Pre April 26 - Yellow,104,4.0,6.0,9.0,4.0,11.0,5.0,7.0,6.0,3.0,6.0,4.0,5.0,5.0,5.0,4.0,7.0,5.0,8.0,18,104.0,0.0
32,2025-03-22,CCC,White,95,4.0,6.0,5.0,3.0,9.0,5.0,4.0,7.0,5.0,5.0,3.0,6.0,6.0,5.0,4.0,7.0,7.0,7.0,18,98.0,-3.0
33,2025-03-23,CCC,Pre April 26 - Yellow,91,3.0,4.0,5.0,3.0,8.0,8.0,5.0,5.0,3.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,7.0,6.0,18,91.0,0.0
34,2025-03-29,CCC,Pre April 26 - Yellow,97,3.0,5.0,6.0,3.0,9.0,6.0,4.0,5.0,7.0,5.0,3.0,6.0,9.0,6.0,5.0,5.0,5.0,5.0,18,97.0,0.0
35,2025-03-30,CCC,Pre April 26 - Yellow,102,,,,,,,,,,,,,,,,,,,0,,
36,2025-04-01,CCC,Pre April 26 - Yellow,101,,,,,,,,,,,,,,,,,,,0,,
37,2025-04-02,Pavenham,Yellow,107,7.0,7.0,7.0,6.0,7.0,5.0,6.0,3.0,7.0,6.0,4.0,5.0,10.0,5.0,6.0,3.0,6.0,7.0,18,107.0,0.0
38,2025-04-11,CCC,Pre April 26 - Yellow,88,4.0,5.0,4.0,4.0,7.0,6.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,3.0,6.0,5.0,6.0,18,88.0,0.0
39,2025-04-12,CCC,Pre April 26 - Yellow,99,,,,,,,,,,,,,,,,,,,0,,
40,2025-04-17,CCC,Pre April 26 - Yellow,105,,,,,,,,,,,,,,,,,,,0,,
41,2025-04-19,CCC,White,94,,,,,,,,,,,,,,,,,,,0,,
42,2025-04-20,Millbrook,Yellow,106,5.0,7.0,5.0,5.0,8.0,6.0,4.0,6.0,4.0,5.0,8.0,6.0,12.0,8.0,5.0,3.0,4.0,5.0,18,106.0,0.0
43,2025-04-21,Mid Herts,White,100,,,,,,,,,,,,,,,,,,,0,,
44,2025-04-25,St Neots,Yellow,99,5.0,7.0,6.0,6.0,9.0,4.0,8.0,3.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,7.0,5.0,18,99.0,0.0
45,2025-04-26,CCC,White,95,,,,,,,,,,,,,,,,,,,0,,
46,2025-04-28,CCC,Pre April 26 - Yellow,99,,,,,,,,,,,,,,,,,,,0,,
47,2025-05-03,CCC,Pre April 26 - Yellow,87,4.0,5.0,5.0,3.0,6.0,5.0,7.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,18,87.0,0.0
48,2025-05-05,CCC,Pre April 26 - Yellow,104,3.0,10.0,5.0,8.0,7.0,5.0,4.0,5.0,3.0,7.0,3.0,4.0,7.0,6.0,4.0,8.0,9.0,6.0,18,104.0,0.0
49,2025-05-09,St Neots,Yellow,98,7.0,4.0,5.0,4.0,7.0,4.0,10.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,7.0,3.0,5.0,6.0,18,98.0,0.0
50,2025-05-10,CCC,Pre April 26 - Yellow,95,,,,,,,,,,,,,,,,,,,0,,
51,2025-05-11,St Neots,Yellow,90,6.0,6.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,4.0,18,90.0,0.0
52,2025-05-16,CCC,White,108,,,,,,,,,,,,,,,,,,,0,,
53,2025-05-17,CCC,White,91,,,,,,,,,,,,,,,,,,,0,,
54,2025-05-18,St Neots,White,103,4.0,6.0,10.0,6.0,8.0,5.0,6.0,3.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0,5.0,5.0,4.0,18,103.0,0.0
55,2025-05-23,CCC,Pre April 26 - Yellow,92,4.0,7.0,5.0,3.0,6.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,18,92.0,0.0
